 Berryfield Apartments,None,None,Ms. Annette Wooley,Phone: ,(479) 717-2674,None,None,None,berryfield@ferguson-apts.com,Fax:  ,(479) 717-2675,None,None,None,https://www.berryfieldapartments.com/,None,None,"2353 Lowell Rd. Springdale, AR 72764",None,None,Apartments
"Brookhaven Apartments, LLC",None,None,Ms. Suzi McDowell,Phone: ,(479) 927-9901,suzim@towerarkansas.com,Fax:  ,(479) 431-5080,None,None,None,https://brookhaven-springdale.com/,None,None,"1127 Brookhaven Ct. Springdale, AR 72764",None,None,None,None,None,Apartments
The Links at Springdale,None,None,Ms. Michelle Chapman,Phone: ,(479) 750-1515,None,None,None,manager@linksatspringdale.apartments,Fax:  ,(479) 750-2667,None,None,None,http://www.linksatspringdale.apartments,None,None,"4097 Links Dr. Springdale, AR 72762",None,None,Apartments
Mill Creek Apartments,None,None,Mr. Jimmy Owens,Phone: ,(479) 927-9790,None,None,None,millcreek@ppm-inc.us,Fax:  ,(479) 927-1657,None,None,None,http://www.ppm-inc.us,None,None,"126 Rhodes Ave. Springdale, AR 72764",None,None,Apartments
Orchard Properties,None,None,Ms. Mitzi Bingaman,Phone: ,(479) 502-0269,None,None,None,orchard@orchardpropertiesar.com,Fax:  ,(479) 361-8083,None,None,None,http://www.Orchardpropertiesar.com,None,None,"481 Aspen Place PO Box 1120 Springdale, AR 72762",None,None,Apartments
The Bowie,None,None,Ms. Melanie Bertram,Phone: ,(479) 346-3452,None,None,None,thebowie@aptleasing.info,Fax:  ,None,None,None,None,http://www.thebowiespringdale.com,None,None,"3400 Gene George Blvd. Springdale, AR 72762",None,None,Apartments
Arts Center of the Ozarks,None,None,Mr. Bryan Gott,Phone: ,(479) 751-5441,None,None,None,info@acozarks.org,Fax:  ,(479) 927-0308,None,None,None,http://www.acozarks.org,None,None,"214 South Main St. Springdale, AR 72764-0000",None,None,Arts Centers
Crystal Bridges Museum of American Art,None,None,Ms. Peggy Boyles,Phone: ,(479) 418-5700,None,None,None,info@crystalbridges.org,Fax:  ,(479) 418-5701,None,None,None,http://www.crystalbridges.org,None,None,"600 Museum Way Bentonville, AR 72712",None,None,Arts Centers
Walton Arts Center,None,None,Mr. Jason Smith,Phone: ,(479) 443-9216,jsmith@waltonartscenter.org,Fax:  ,(479) 443-6461,None,None,None,http://www.waltonartscenter.org,None,None,"495 West Dickson St. Fayetteville, AR 72701",None,None,None,None,None,Arts Centers
"APAC Central, Inc.",None,None,Mr. Murry Cline,Phone: ,(479) 587-3300,murry.cline@apac.com,Fax:  ,(479) 521-2826,None,None,None,http://www.apaccentralinc.com,None,None,"755 East Millsap Rd. Fayetteville, AR 72703",None,None,None,None,None,Asphalt & Paving Contractors
Sisemore Paving Company,None,None,Mr. Gary Sisemore,Phone: ,(479) 248-7781,gary.sisemorepaving@gmail.com,Fax:  ,None,None,None,None,https://sisemorepavingco.com/,None,None,"7012 East Downum Rd. Springdale, AR 72762-0000",None,None,None,None,None,Asphalt & Paving Contractors
Bella Vista POA,None,None,Ms. Ashley Wood,Phone: ,(479) 855-8000,None,None,None,ashleyw@bvvpoa.com,Fax:  ,None,None,None,None,http://www.bellavistapoa.com,None,None,"98 Club House Dr. Bella Vista, AR 72715",None,None,Associations
Samaritan Shop,None,None,Ms. Shaylan Dillon,Phone: ,(479) 636-4198,None,None,None,sdillon@samcc.org,Fax:  ,(479) 636-5254,None,None,None,http://www.samcc.org,None,None,"2300 West Sunset Ave. Springdale, AR 72764",None,None,Associations
 71 B Auto Auction,None,None,Ms. Amber Coffman,Phone: ,(479) 756-5001,None,None,None,amber.bradley@huntag.com,Fax:  ,(479) 756-5123,None,None,None,https://71baa.com/,None,None,"4635 North Thompson St. Springdale, AR 72764",None,None,Automobile - Dealers/Rental & Leasing
 America's Car-Mart of Springdale East,None,None,Ms. Kim Phan,Phone: ,(479) 756-0766,kim.phan@car-mart.com,Fax:  ,None,None,None,None,http://www.car-mart.com,None,None,"1866 East Robinson Ave. Springdale, AR 72764",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
America's Car-Mart of Springdale West,None,None,Ms. Jill Clark,Phone: ,(479) 756-5530,jill.clark@car-mart.com,Fax:  ,(479) 756-5531,None,None,None,https://www.car-mart.com/,None,None,"3733 West Sunset Ave. Springdale, AR 72764",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
C3 Canela Car Company LLC,None,None,Mr. Jose Hernandez,Phone: ,(479) 756-1936,gtocars2020@gmail.com,Fax:  ,None,None,None,None,https://www.c3canelacarcompany.com,None,None,"2679-B North Thompson St. Springdale, AR 72764",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Crain Buick GMC of Springdale,None,None,Mr. Derrick Calhoun,Phone: ,(479) 223-5379,derrickcalhoun@crainteam.net,Fax:  ,(479) 361-4656,None,None,None,http://www.crainbuickgmcofspringdale.com,None,None,"6372 West Sunset Ave. Springdale, AR 72762-0000",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Dellinger Automotive,None,None,Mr. Jon Dellinger,Phone: ,(479) 872-0933,jon@jondellinger.com,Fax:  ,(479) 872-0944,None,None,None,http://www.jondellinger.com,None,None,"2206 East Robinson Ave. Springdale, AR 72764-0000",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Enterprise Rent-A-Center - Springdale,None,None,Ms Mikhaela Cochran,Phone: ,(479) 872-2217,None,Fax:  ,(800) REN-TACA,None,None,None,http://www.erac.com,None,None,"2125 Sunset Ave. Springdale, AR 72764",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Hertz Rent-A-Car,None,None,Mr. Rob Wiedenhoeft,Phone: ,(479) 444-6862,robw@carcotrans.com,Fax:  ,(479) 444-8258,None,None,None,http://www.hertz.com,None,None,"2145 Creekview, Ste. #A Fayetteville, AR 72704-5261",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Landers Toyota NWA,None,None,Ms. Toni Luetjen,Phone: ,(479) 845-1444,toni.luetjen@landerscorp.com,Fax:  ,None,None,None,None,https://www.landerstoyotanwa.com/,None,None,"411 South Metro Pkwy. Rogers, AR 72758",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
McLarty Daniel Chevrolet,None,None,Mr. Allen Cotner,Phone: ,(479) 725-9100,acotner@mclartydaniel.com,Fax:  ,None,None,None,None,http://www.springdalechevy.com,None,None,"1159 North 45th St. Springdale, AR 72764-0000",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
McLarty Daniel Chrysler Dodge Jeep Ram Fiat,None,None,Mr. Allen Cotner,Phone: ,(479) 751-4563,acotner@mclartydaniel.com,Fax:  ,(479) 751-0794,None,None,None,https://www.springdalecdjr.com/,None,None,"3709 South Thompson St. Springdale, AR 72764",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Rath Automotive LLC,None,None,Mr. David Rath,Phone: ,(479) 303-7284,drath87@gmail.com,Fax:  ,(479) 751-3161,None,None,None,http://www.rathmitsubishi.com/,None,None,"3558 South Thompson Springdale, AR 72764",None,None,None,None,None,Automobile - Dealers/Rental & Leasing
Anstaff Bank,None,None,Stephen Stafford,Phone: ,(870) 438-5821,None,Fax:  ,None,None,None,None,http://www.anstaff.bank,None,None,"2492 Hwy 103 North Green Forrest, AR 72638",None,None,None,None,None,Banks/Financial Institutions
Armstrong Bank,None,None,Mr. Sam Harris,Phone: ,(479) 725-0834,harriss@armstrongbank.com,Fax:  ,(479) 725-0821,None,None,None,http://www.armstrongbank.com,None,None,"3942 Elm Springs Rd. Springdale, AR 72762",None,None,None,None,None,Banks/Financial Institutions
Arvest Bank Springdale,None,None,Mr. Kent Williamson,Phone: ,(479) 756-7092,Kwilliamson@arvest.com,Fax:  ,(479) 757-8502,None,None,None,http://www.arvest.com,None,None,"415 West Emma Ave. Springdale, AR 72764",None,None,None,None,None,Banks/Financial Institutions
Centennial Bank,None,None,Mr. Scott Hancock,Phone: ,(479) 684-2265,shancock@my100bank.com,Fax:  ,(479) 287-4584,None,None,None,http://www.my100bank.com,None,None,"3395 West Sunset Ave. Springdale, AR 72764-0000",None,None,None,None,None,Banks/Financial Institutions
Chambers Bank,None,None,Mr. Loren Shackelford,Phone: ,(479) 582-6016,None,None,None,lshackelford@chambers.bank,Fax:  ,None,None,None,None,http://www.chambers.bank,None,None,"1685 East Joyce Blvd. Fayetteville, AR 72701",None,None,Banks/Financial Institutions
Farm Credit Services of Western Arkansas,None,None,Ms.  Christina  Roling,Phone: ,(479) 717-6740,None,None,None,christina.roling@myaglender.com,Fax:  ,(479) 717-6741,None,None,None,www.myaglender.com,None,None,"1091 West Henri de Tonti Blvd. Springdale, AR 72762",None,None,Banks/Financial Institutions
 First Convenience Bank,None,None,Mr. Luis Ortiz,Phone: ,(800) 903-7490,rc396@fcserv.com,Fax:  ,None,None,None,None,http://www.1stcb.com,None,None,"2004 South Pleasant St. Springdale, AR 72764",None,None,None,None,None,Banks/Financial Institutions
 First Financial Bank - Ag Lending,None,None,Mr. Matt Garrett,Phone: ,(479) 442-7773,mgarrett@ffb1.com,Fax:  ,(479) 442-7705,None,None,None,http://www.ffb1.com,None,None,"2638 East Joyce Blvd., Ste. 2 Fayetteville, AR 72703",None,None,None,None,None,Banks/Financial Institutions
 First National Bank,None,None,Ms. Silvia Garcia,Phone: ,(479) 750-3620,None,None,None,silvia.garcia@fnbank.net,Fax:  ,(479) 751-0790,None,None,None,http://www.fnbank.net,None,None,"1950 South Pleasant St. Springdale, AR 72764",None,None,Banks/Financial Institutions
First Security Bank Springdale,None,None,Ms. Annette King,Phone: ,479-750-7060,annette.king@fsbank.com,Fax:  ,(479) 750-7061,None,None,None,http://www.fsbank.com,None,None,"2863 West Sunset Ave. Springdale, AR 72764",None,None,None,None,None,Banks/Financial Institutions
First State Bank,None,None,Ms. Christie Turner,Phone: ,(479) 435-9034,cturner@fsbmybank.com,Fax:  ,(479) 332-4222,None,None,None,http://www.fsbmybank.com,None,None,"3654 North Investment Dr., Ste. 110 Fayetteville, AR 72703",None,None,None,None,None,Banks/Financial Institutions
 First Western Bank,None,None,Mr. Clay Conly,Phone: ,(479) 936-2000,None,None,None,clay@fwbank.com,Fax:  ,None,None,None,None,http://www.firstwestern.com,None,None,"401 West Walnut St. Rogers, AR 72756",None,None,Banks/Financial Institutions
